City,State,city_url
auburn, al, https://auburn.craigslist.org
birmingham, al, https://bham.craigslist.org
dothan, al, https://dothan.craigslist.org
florence / muscle shoals, al, https://shoals.craigslist.org
gadsden-anniston, al, https://gadsden.craigslist.org
huntsville / decatur, al, https://huntsville.craigslist.org
mobile, al, https://mobile.craigslist.org
montgomery, al, https://montgomery.craigslist.org
tuscaloosa, al, https://tuscaloosa.craigslist.org
anchorage / mat-su, ak, https://anchorage.craigslist.org
fairbanks, ak, https://fairbanks.craigslist.org
kenai peninsula, ak, https://kenai.craigslist.org
southeast alaska, ak, https://juneau.craigslist.org
flagstaff / sedona, az, https://flagstaff.craigslist.org
mohave county, az, https://mohave.craigslist.org
phoenix, az, https://phoenix.craigslist.org
prescott, az, https://prescott.craigslist.org
show low, az, https://showlow.craigslist.org
sierra vista, az, https://sierravista.craigslist.org
tucson, az, https://tucson.craigslist.org
yuma, az, https://yuma.craigslist.org
fayetteville, ar, https://fayar.craigslist.org
fort smith, ar, https://fortsmith.craigslist.org
jonesboro, ar, https://jonesboro.craigslist.org
little rock, ar, https://littlerock.craigslist.org
texarkana, ar, https://texarkana.craigslist.org
bakersfield, ca, https://bakersfield.craigslist.org
chico, ca, https://chico.craigslist.org
fresno / madera, ca, https://fresno.craigslist.org
gold country, ca, https://goldcountry.craigslist.org
hanford-corcoran, ca, https://hanford.craigslist.org
humboldt county, ca, https://humboldt.craigslist.org
imperial county, ca, https://imperial.craigslist.org
inland empire, ca, https://inlandempire.craigslist.org
los angeles, ca, https://losangeles.craigslist.org
mendocino county, ca, https://mendocino.craigslist.org
merced, ca, https://merced.craigslist.org
modesto, ca, https://modesto.craigslist.org
monterey bay, ca, https://monterey.craigslist.org
orange county, ca, https://orangecounty.craigslist.org
palm springs, ca, https://palmsprings.craigslist.org
redding, ca, https://redding.craigslist.org
reno / tahoe, ca, https://reno.craigslist.org
sacramento, ca, https://sacramento.craigslist.org
san diego, ca, https://sandiego.craigslist.org
san luis obispo, ca, https://slo.craigslist.org
santa barbara, ca, https://santabarbara.craigslist.org
santa maria, ca, https://santamaria.craigslist.org
SF bay area, ca, https://sfbay.craigslist.org
siskiyou county, ca, https://siskiyou.craigslist.org
stockton, ca, https://stockton.craigslist.org
susanville, ca, https://susanville.craigslist.org
ventura county, ca, https://ventura.craigslist.org
visalia-tulare, ca, https://visalia.craigslist.org
yuba-sutter, ca, https://yubasutter.craigslist.org
boulder, co, https://boulder.craigslist.org
colorado springs, co, https://cosprings.craigslist.org
denver, co, https://denver.craigslist.org
eastern CO, co, https://eastco.craigslist.org
fort collins / north CO, co, https://fortcollins.craigslist.org
high rockies, co, https://rockies.craigslist.org
pueblo, co, https://pueblo.craigslist.org
western slope, co, https://westslope.craigslist.org
eastern CT, ct, https://newlondon.craigslist.org
hartford, ct, https://hartford.craigslist.org
new haven, ct, https://newhaven.craigslist.org
northwest CT, ct, https://nwct.craigslist.org
